stationName,dow,06시이전,06~07시,07~08시,08~09시,09~10시,10~11시,11~12시,12~13시,13~14시,14~15시,15~16시,16~17시,17~18시,18~19시,19~20시,20~21시,21~22시,22~23시,23~24시,24시이후
시청,MON,73.56,313.67,1174.44,3901.89,2928.67,5184.22,2333.33,1022.67,921.67,849.89,795.22,683.44,649.33,633.56,526.33,486.78,301.56,248.67,194.67,114.89
시청,TUE,78.33,371.22,1550.56,5135.33,3422.67,5347.78,2421.33,1048.22,1023.78,936.67,916.89,846.44,885.44,800.78,593.33,532.11,329.78,247.33,180.78,128.56
시청,WED,82.5,400.25,1684.38,5667.63,3734.25,5909.63,2545.13,1128.5,1008.25,909.5,859.5,779.88,764.25,816,660.25,603.5,357.25,252.88,203.5,149.75
시청,THU,72.88,397,1634.13,5543.13,3438.75,4672.75,2164,1032.5,989.63,879.25,851.13,779.38,755.88,802.5,611.38,559.5,357,253.75,201.38,161.13
시청,FRI,73.89,346.11,1404.89,4870.78,3206.67,5209.78,2234.22,1025.67,1004.56,909.78,942.11,842.33,917.89,1005.22,793.78,701.22,434.56,286.33,253.22,205.44
시청,SAT,45.22,158.78,204.11,435.67,590.67,726.78,906.67,970.89,1115,1114.78,1193.11,1168.11,1159.22,962.11,798.78,508.33,358.11,280.78,252.22,178
시청,SUN,28.89,168.11,223.22,268.11,402.67,543.22,697.56,698.22,807,787,743.22,665.67,570.33,418.67,352.67,284.22,248.44,226.33,182,100.44
을지로입구,MON,95.78,478.44,2229.78,6120.22,5395.89,8716.22,4267.44,2478.11,2098.44,1835.89,1795.44,1739.44,1822.44,1885.67,1617.44,1495.22,1025.78,737.44,516.67,354.33
을지로입구,TUE,107.33,577.78,2857.22,8039.11,6191.56,8872.89,4417.78,2477.56,2182.33,1831.67,1871.22,1850.78,1948.44,2072.33,1723.56,1545.22,1025.67,724.56,514.11,362.78
을지로입구,WED,105.13,605.13,3121.63,8829.5,6555.5,9529.13,4487.75,2592,2145.5,1892.63,1903.38,1817.5,1979,2163.13,1847.5,1638,1093.75,743.5,540.63,389.75
